review_id,platform,product_name,category,subcategory,star_rating,review_text,sentiment,,
B001,Shopee,Kiehl's Ultra Facial Cream,Beauty,Skin Care,5,"My skin feels soft, hydrated, and just healthier overall",Positive,,"subcategories: skincare, haircare, makeup, body care, fragrance (30 each)"
B002,Shopee,Kiehl's Ultra Facial Cream,Beauty,Skin Care,5,Been using this for years and skin looks healthier and moisturized,Positive,,
B003,Shopee,Beauty of Joseon Rice Glow Moisturizing Cream,Beauty,Skin Care,5,It made my skin feels soft & smooth after i applied it on my skin,Positive,,
B004,Shopee,La Roche Posay Cicaplast Baume B5+,Beauty,Skin Care,1,Develop burning sensation redness and itchy after using,Negative,,
B005,Shopee,SKIN1004 Madagascar Centella Soothing Cream Cruelty Free,Beauty,Skin Care,5,My acne has improved a lot after using this,Positive,,
B006,Shopee,SKIN1004 Madagascar Centella Soothing Cream Cruelty Free,Beauty,Skin Care,5,"No greasiness, no irritation, just calm, hydrated skin.",Positive,,
B007,Shopee,SKIN1004 Madagascar Centella Soothing Cream Cruelty Free,Beauty,Skin Care,4,"this soothing cream is good but just so so for extremely dry skin, love the texture tho",Neutral,,
B008,Shopee,SKIN1004 Madagascar Centella Soothing Cream Cruelty Free,Beauty,Skin Care,1,Skin broke out so badly totally not suitable for acne prone skin girlies ,Negative,,
B009,Shopee,Torriden Dive In Low Molecular Hyaluronic Acid Toner,Beauty,Skin Care,2,"Not as hydrating as other toners. For dry skin no, probably better for oily skin",Neutral,,
B010,Shopee,Minimalist 0.3% Ceramides Barrier Repair Moisturizing Cream with Madecassoside & Ursolic Acid,Beauty,Skin Care,5," This moisturizer is light, not sticky and does not leave a residue. Also it has no smell.",Positive,,
B011,Shopee,La Roche Posay Cicaplast Baume B5+ ,Beauty,Skin Care,1,My skin doesn't tolerate this product. It beomes red and flaky after two days of usage,Negative,,
B012,Shopee,Minimalist 0.3% Ceramides Barrier Repair Moisturizing Cream with Madecassoside & Ursolic Acid,Beauty,Skin Care,3,"After it dries down, the product feels quite oily and sticky.. And i do not see any difference when im wearing it or not.",Neutral,,
B013,Shopee,NUUHA Beauty 7X Peptide Ultimate Glass Skin Moisturizer,Beauty,Skin Care,1,Nothing change and never seen the effectiveness.,Neutral,,
