review_id,time_stamp,platform,product_name,category,subcategory,star_rating,review_text,sentiment,
FA001,,Shopee,Bella Women Korean Style Suspender Long Dress Sleeveless Black Dress Off-Shoulder Summer Casual Clothing,Fashion,Dress,5,"Fits perfectly",Positive,
FA002,,Shopee,Bella Women Korean Style Suspender Long Dress Sleeveless Black Dress Off-Shoulder Summer Casual Clothing,Fashion,Dress,3,Disappointed because at the back got stained and unable to get loose using wipes,Negative,
FA003,,Shopee,Women's Korean Fashion Narrow Waist Slim Fit Sexy Slit Design Suspender Hip-wrapped Midi Dress ,Fashion,Dress,5,This dress is very nice and fit to my body comfortability and the material is not hot. Quite elegant and the quality is good,Positive,
FA004,,Shopee,Women's Korean Fashion Narrow Waist Slim Fit Sexy Slit Design Suspender Hip-wrapped Midi Dress ,Fashion,Dress,1,Hard cloth tough fabric Not fit,Negative,
FA005,,Shopee,Women's Korean retro simple Hepburn style waist slim square neck knee-length dress,Fashion,Dress,5,"Very beautiful, satisfied, satisfied with the quality of products and services",Positive,
FA006,,Shopee,Women's Korean retro simple Hepburn style waist slim square neck knee-length dress,Fashion,Dress,3,The quality wise quite transparent but the size is just nice for me.,Neutral,
FA007,,Shopee,Women's Korean retro simple Hepburn style waist slim square neck knee-length dress,Fashion,Dress,2,"The upper body is temporarily acceptable, the lower part is baggy like a bag. Tell the shop to change the size of the shop to definitely not change. Recommend you to consider before buying",Negative,
FA008,,Shopee,Women's Korean retro simple Hepburn style waist slim square neck knee-length dress,Fashion,Dress,1,Cutting at waist is larger than size chart.,Negative,Items:
FA009,,Shopee,GDTIMA Baju Raya Muslimah Abaya Dress Round Neck Long Sleeved Polka Dot Lace Up Long Dress,Fashion,Dress,5,True to size.. Comfortable enough.. Highly recommend and definitely worth the money..,Positive,"Shawl, Headbands, Hairclips, Earrings, Necklace, Tshirt, Dress, Jacket, Hoodie, Pants, Jeans, Skirt, Shorts, Socks, Rings, Shoes"
FA010,,Shopee,GDTIMA Baju Raya Muslimah Abaya Dress Round Neck Long Sleeved Polka Dot Lace Up Long Dress,Fashion,Dress,4,Item worth the value. Bigger & longer than actual size so need to alter,Positive,30 reviews or 50 days per day - to complete before lab (16/6)
FA011,,Shopee,GDTIMA Baju Raya Muslimah Abaya Dress Round Neck Long Sleeved Polka Dot Lace Up Long Dress,Fashion,Dress,3,The style not suitable with my body shape,Negative,"Each classes (+ve, -ve, neutral) - Approximately 50 reviews"
FA012,,Shopee,Lovito Boho Dress Paisley Pattern Smocked Bow Back Summer Dress for Women,Fashion,Dress,5,"Really love the product, quality also nice fabric, so cutesy",Positive,
FA013,,Shopee,Lovito Boho Dress Paisley Pattern Smocked Bow Back Summer Dress for Women,Fashion,Dress,3,Cutting abit loose for the back stretchy part.,Neutral,
FA014,,Shopee,Lovito Boho Dress Paisley Pattern Smocked Bow Back Summer Dress for Women,Fashion,Dress,2,"The color is abit down, not nice than the photo",Negative,
FA015,,Shopee,Lovito Boho Dress Paisley Pattern Smocked Bow Back Summer Dress for Women,Fashion,Dress,1,Defective/Damaged Item,Negative,
FA016,,Shopee,Women Vintage Solid Double Layer Muslim Casual Long Sleeve Maxi Sundress White Long Dress,Fashion,Dress,5,"The material is soft, not hot at all, and feels really nice on the skin. Perfect for daily wear or any occasion, I honestly didn’t expect it to be this comfy! This is my second time purchase and it didn't disappoint me. And fast delivery also thanks seller",Positive,
FA017,,Shopee,Women Vintage Solid Double Layer Muslim Casual Long Sleeve Maxi Sundress White Long Dress,Fashion,Dress,4,The material is really good but only the colour is kinda bit different from the pic ..its kinda more to purple than a maroon.,Positive,
FA018,,Shopee,Women Vintage Solid Double Layer Muslim Casual Long Sleeve Maxi Sundress White Long Dress,Fashion,Dress,2,"Thin, very see through",Negative,
FA019,,Shopee,Pearl Earrings for Women Korean Style 925 Silver,Fashion,Earrings,5,The earrings are simple but look nice when wear it. Delivery super duper fast. The price also reasonable. I will re-purchase. Like it so much,Positive,
FA020,,Shopee,Roselife Cool Asymmetry S925 Silver Crystal Cross Star Hoop Earrings for Women Girls Fashion Pierced Ear Circle Jewelry,Fashion,Earrings,5,"The item arrived in good and secure condition. The quality is excellent, and I’m really satisfied with this purchase. The price is reasonable, the seller’s service is great, and the delivery was fast. Recommended!",Positive,
FA021,,Shopee,Roselife Cool Asymmetry S925 Silver Crystal Cross Star Hoop Earrings for Women Girls Fashion Pierced Ear Circle Jewelry,Fashion,Earrings,3,"Big earring is fine. Small earring is way too small, its very hard to put it in your ear. Not suitable for thick earlobes either. If you have thick earlobes, it probably won't fit/will pinch your ear.",Neutral,
FA022,,Shopee,Roselife Cool Asymmetry S925 Silver Crystal Cross Star Hoop Earrings for Women Girls Fashion Pierced Ear Circle Jewelry,Fashion,Earrings,2,Picture showed earring that look high quality and grand. In real life it's small and like cheap looking fake diamond. But for the price it's ok,Negative,
FA023,,Shopee,Roselife Cool Asymmetry S925 Silver Crystal Cross Star Hoop Earrings for Women Girls Fashion Pierced Ear Circle Jewelry,Fashion,Earrings,1,"Bought less than 2 weeks ago but rusty, black ears. The product feels like it's not as advertised.",Negative,
FA024,,Shopee,Korean-style Plated Gold Love Clover Earrings Elegant Needle Ear Studs Women Jewelry Accessories,Fashion,Earrings,5,Beautiful design. Small not big. Size is just right.Affordable pricing.Well packed.,Positive,
FA025,,Shopee,Korean-style Plated Gold Love Clover Earrings Elegant Needle Ear Studs Women Jewelry Accessories,Fashion,Earrings,1,Quality not good,Negative,
FA026,,Shopee,JOJO COCO S925 Silver Plated Earrings for Women Korean Style Butterfly Flower Love Zircon Hypoallergenic Earrings,Fashion,Earrings,5,"The product has a nice design, sturdy material and features exactly as described. Fast delivery, carefully packed carefully. I am very satisfied with the quality in this price range. Will support the shop!",Positive,
FA027,,Shopee,JOJO COCO S925 Silver Plated Earrings for Women Korean Style Butterfly Flower Love Zircon Hypoallergenic Earrings,Fashion,Earrings,3,The quality is good but I didn't receive a stud stopper.,Neutral,
FA028,,Shopee,JOJO COCO S925 Silver Plated Earrings for Women Korean Style Butterfly Flower Love Zircon Hypoallergenic Earrings,Fashion,Earrings,1,Earrings sold without stopper,Negative,
FA029,,Shopee,Resin Star Heart Clover Stud Earring Hypoallergenic Simple Plastic Earring Wearable Curing Piercing,Fashion,Earrings,5,Fast delivery & received goods in good condition. Good quality product. Nice design. The product comes with a spare rubber stopper.,Positive,
FA030,,Shopee,Autumn Winter Cute Plush Hair Claw Pastel Color Korea Style Fluffy Hair Clip Hairpin Head Dressing,Fashion,Hairclaw,5,"Order received, nice purple colour. Quality ok with the price paid.",Positive,
FA031,,Shopee,Autumn Winter Cute Plush Hair Claw Pastel Color Korea Style Fluffy Hair Clip Hairpin Head Dressing,Fashion,Hairclaw,4,Good and cheap. Everything is okay.,Positive,
FA032,,Shopee,Gradient Color Egg Flower Hair Clip Women Versatile Grab Clip Beach Updos Stylish Hair Accessories,Fashion,Hairclaw,5,"Very beautiful, sparkling looking in the mirror ",Positive,
FA033,,Shopee,Gradient Color Egg Flower Hair Clip Women Versatile Grab Clip Beach Updos Stylish Hair Accessories,Fashion,Hairclaw,4,I love this hair clip but it's not strong enough but so far its very nice,Positive,
FA034,,Shopee,Gradient Color Egg Flower Hair Clip Women Versatile Grab Clip Beach Updos Stylish Hair Accessories,Fashion,Hairclaw,3,It works fine but a little fragile,Neutral,
FA035,,Shopee,Gradient Color Egg Flower Hair Clip Women Versatile Grab Clip Beach Updos Stylish Hair Accessories,Fashion,Hairclaw,2,"Bad plastic, thin, delivered broken in half",Negative,
FA036,,Shopee,New Hot Korean Ins Metal Hairclip,Fashion,Hairclaw,5,"All hair clips are good quality, worth the price as the quality is over my expectations! And the design is so nice and elegant to wear it!",Positive,
FA037,,Shopee,New Hot Korean Ins Metal Hairclip,Fashion,Hairclaw,3,"Nice clip and design, but this dangerous when clip the hair, the claw will hurt finger",Neutral,
