review_id,platform,product_name,category,subcategory,star_rating,review_text,sentiment
FD006,Shopee,NESTLE Milo Activ-Go HCL2.0 1.8kg,Food,Milk and Chocolate Drink,5,"deliciously aromatic and fresh, top notch quality
Prompt delivery
Reliable and responsive seller
Value for money with promotion discount voucher
Fresh product with lengthy expiry date until July 2023.
Nicely done job.",Positive
FD007,Shopee,NESTLE Milo Activ-Go HCL2.0 1.8kg,Food,Milk and Chocolate Drink,5,"Great taste. Excellent quality. This is my numerous times of purchase with this seller. Always deliver the best. Received the item in a good condition and fast too. Grab the 4/4 promotion price, was way cheaper than buying from other retailers. Thank you seller!!",Positive
FD008,Shopee,NESTLE Milo Activ-Go HCL2.0 1.8kg,Food,Milk and Chocolate Drink,5,"The item was superior. Packaging was matchless. Quality of the wrapping was grand. Delivery was remarkably speedy by Shopee Express. 
Excellent service by seller. Ordered few times from this seller. 
Recommended seller. ",Positive
FD009,Shopee,NESTLE Milo Activ-Go HCL2.0 1.8kg,Food,Milk and Chocolate Drink,5,"Good quality. Good taste. Thank you very much to the seller for the fast delivery of my purchased items. I am the regular buyer to repeat my purchase to the same items. The price of the purchase items are reasonable and also super quality product. It is recommend to everyone. Thank you very much and will back again soon !!!""",Positive
FD010,Shopee,NESTLE Milo Activ-Go HCL2.0 1.8kg,Food,Milk and Chocolate Drink,5,"Good quality. Good taste. Very happy with the purchase 
Expired date 31.3.2025. Bought during 8.8 sale
Expecting to receive 1.8 kg since the description state so
But it came with 2kg.
Wow! What a surprise",Positive
FD016,Shopee,MISTER POTATO CHIPS 125G,Food,Snacks,5,Happy with this purchase products is quality some more buying in live stream price is very cheap and seller aslo very efficient shipout on the same day.,Positive
FD017,Shopee,MISTER POTATO CHIPS 125G,Food,Snacks,5,"Seller did an amazing job for my order. Great service, picked up on time, and delivered securely and on time.",Positive
FD018,Shopee,MISTER POTATO CHIPS 125G,Food,Snacks,5,"Faster delivery good quality for the best quality products in the world dominion it can be a very popular",Positive
FD025,Shopee,15g x 30pcs Mini Corntoz Snacks,Food,Snacks,5,Item received in good condition and very fast. Packaging is very good and no dented. Product tested and working fine. Good quality and reasonable price. Thank you.,Positive
FD026,Shopee,15g x 30pcs Mini Corntoz Snacks,Food,Snacks,5,All items received were as per ordered and value for money. Quite fast delivery too and I am happy with the purchase. Thank you for the free gift!,Positive
