review_id,platform,product_name,category,subcategory,star_rating,review_text,sentiment,review_text_fixed,review_text_translated,review_text_normalized,review_tokens,split
E001,shopee,1600w peak power hifi sound amplifier digital 4 channel,electronics,speaker,5,barag dh sampai dengn baik comel pawer buyi pon boleh tahan bas ye pun bagus..cume rengan betul..x tau lh tahan bape lame ni..ape2 pon terime kasih lah ye,neutral,barang sudah sampai dengan baik comel power bunyi pon boleh tahan bas ye pun bagus..cume ringan betul..x tau lh tahan berapa lama ni..ape2 pon terime kasih ye,item arrived well cute power good sound even last bus really light dont know long last thank,item arrive well cute power good sound even last bus really light dont know long last thank,"['item', 'arrive', 'well', 'cute', 'power', 'good', 'sound', 'even', 'last', 'bus', 'really', 'light', 'dont', 'know', 'long', 'last', 'thank']",test
E002,shopee,sprise bass stereo portable bluetooth speaker wireless mini louder volume spiker 蓝牙音响,electronics,speaker,2,"Performance:good
 Quality:superb
 
 Small but powerfull.. full recommended",neutral,Performance:good Quality:superb Small but powerfull.. full recommended,performance good quality superb small powerfull full recommended,performance good quality superb small powerfull full recommend,"['performance', 'good', 'quality', 'superb', 'small', 'powerfull', 'full', 'recommend']",val
E003,shopee,sprise bass stereo portable bluetooth speaker wireless mini louder volume spiker 蓝牙音响,electronics,speaker,2,Bluetooth asik disconnect. Guna aux ada bunyi bising. Hhm rasa mcm tak berbaloi dgn harga rm20+. Tp lawa,negative,Bluetooth asyik disconnect. Guna aux ada bunyi bising. rasa macam tidak berbaloi dengan harga rm20+. tetapi cantik,bluetooth keeps disconnecting use aux noise feels like worth price rm20 beautiful,bluetooth keep disconnect use aux noise feel like worth price rm20 beautiful,"['bluetooth', 'keep', 'disconnect', 'use', 'aux', 'noise', 'feel', 'like', 'worth', 'price', 'rm20', 'beautiful']",train
E004,shopee,sprise bass stereo portable bluetooth speaker wireless mini louder volume spiker 蓝牙音响,electronics,speaker,2,"Quality:Padan la dgn harga
 
 Charging Cable memang xde ek? Hahahha.. Entah la.. Tp bunyi dia sedap la jgk",neutral,Quality:Padan dengan harga Charging Cable memang tidak ada ek? Hahahha.. Entah la.. tetapi bunyi dia sedap juga,quality matches price charging cable isnt really hahahha dont know sounds good,quality match price charge cable isnt really hahahha dont know sound good,"['quality', 'match', 'price', 'charge', 'cable', 'isnt', 'really', 'hahahha', 'dont', 'know', 'sound', 'good']",test
E005,shopee,sprise bass stereo portable bluetooth speaker wireless mini louder volume spiker 蓝牙音响,electronics,speaker,2,"Quality:Sound quality is 7/10..
 
 The supply don't even bother to check the item before despatch. There's no manual attached with the unit. Even nearby it took time to deliver.
 Bad service",negative,Quality:Sound quality is 7/10.. The supply don't even bother to check the item before despatch. There's no manual attached with the unit. Even nearby it took time to deliver. Bad service,quality sound quality 7 10 supply dont even bother check item despatch theres manual attached unit even nearby took time deliver bad service,quality sound quality 7 10 supply dont even bother check item despatch theres manual attach unit even nearby take time deliver bad service,"['quality', 'sound', 'quality', '7', '10', 'supply', 'dont', 'even', 'bother', 'check', 'item', 'despatch', 'theres', 'manual', 'attach', 'unit', 'even', 'nearby', 'take', 'time', 'deliver', 'bad', 'service']",test
E006,shopee,sprise bass stereo portable bluetooth speaker wireless mini louder volume spiker 蓝牙音响,electronics,speaker,2,Guna tak sampai 2 minggu. Mula ok pastu Bluetooth dah tak boleh detect kena pakai wire sahaja. Hmm cari brand lain je lah.,negative,Guna tidak sampai 2 minggu. Mula okay selepas itu Bluetooth sudah tidak boleh detect kena guna wire sahaja. cari brand lain sahaja lah.,use less 2 weeks started okay bluetooth cant detect use wire look another brand,use less 2 week start okay bluetooth cant detect use wire look another brand,"['use', 'less', '2', 'week', 'start', 'okay', 'bluetooth', 'cant', 'detect', 'use', 'wire', 'look', 'another', 'brand']",train
E007,lazada,srihome sh029 outdoor wifi cctv ip security camera 1296 super full hd ir night vision ip66 waterproof,electronics,camera,2,"product poor quality. because of it I bought two new SD card to test it can read for few minutes. then not able found the card. then take out put back it can read, after few minutes again card not found. but you put the card in laptop, card no problems, just became not able format because it became write protected after recorded",negative,"product poor quality. because of it I bought two new SD card to test it can read for few minutes. then not able found the card. then take out put back it can read, after few minutes again card not found. but you put the card in laptop, card no problems, just became not able format because it became write protected after recorded",product poor quality bought two new sd card test read minutes able found card take put back read minutes card found put card laptop card problems became able format became write protected recorded,product poor quality buy two new sd card test read minute able found card take put back read minute card find put card laptop card problem become able format become write protect record,"['product', 'poor', 'quality', 'buy', 'two', 'new', 'sd', 'card', 'test', 'read', 'minute', 'able', 'found', 'card', 'take', 'put', 'back', 'read', 'minute', 'card', 'find', 'put', 'card', 'laptop', 'card', 'problem', 'become', 'able', 'format', 'become', 'write', 'protect', 'record']",train
E008,lazada,srihome sh029 outdoor wifi cctv ip security camera 1296 super full hd ir night vision ip66 waterproof,electronics,camera,2,"To date 5/1/24 I'm yet to receive my order. As I informed u earlier my house address is No 3, 9/2. The photo shown by Yr agent is no. 3A. Even I am not familiar where that 3A address is located.
 Please deliver my order to my address.",negative,"To date 5/1/24 I'm yet to receive my order. As I informed you earlier my house address is No 3, 9/2. The photo shown by Yr agent is no. 3A. Even I am not familiar where that 3A address is located. Please deliver my order to my address.",date 5 1/24 im yet receive order informed earlier house address 3 9 2 photo shown yr agent 3a even familiar 3a address located please deliver order address,date 5 1/24 im yet receive order inform earlier house address 3 9 2 photo show yr agent 3a even familiar 3a address locate please deliver order address,"['date', '5', '1/24', 'im', 'yet', 'receive', 'order', 'inform', 'earlier', 'house', 'address', '3', '9', '2', 'photo', 'show', 'yr', 'agent', '3a', 'even', 'familiar', '3a', 'address', 'locate', 'please', 'deliver', 'order', 'address']",train
E009,lazada,srihome sh029 outdoor wifi cctv ip security camera 1296 super full hd ir night vision ip66 waterproof,electronics,camera,2,"Terrible experience, bot 2 unit, 1unit spoilt, been busy so can't check it on time. Good luck buyer.",negative,"Terrible experience, bought 2 unit, 1unit spoilt, been busy so can't check it on time. Good luck buyer.",terrible experience bought 2 unit 1unit spoilt busy cant check time good luck buyer,terrible experience buy 2 unit 1unit spoilt busy cant check time good luck buyer,"['terrible', 'experience', 'buy', '2', 'unit', '1unit', 'spoilt', 'busy', 'cant', 'check', 'time', 'good', 'luck', 'buyer']",train
E010,lazada,srihome sh029 outdoor wifi cctv ip security camera 1296 super full hd ir night vision ip66 waterproof,electronics,camera,2,Cannot download direct to handphone.. must take out from memory card.. if the camera is outside and height how to get the memory card.. low spec.,negative,Cannot download direct to handphone.. must take out from memory card.. if the camera is outside and height how to get the memory card.. low spec.,cannot download direct handphone must take memory card camera outside height get memory card low spec,can not download direct handphone must take memory card camera outside height get memory card low spec,"['can', 'not', 'download', 'direct', 'handphone', 'must', 'take', 'memory', 'card', 'camera', 'outside', 'height', 'get', 'memory', 'card', 'low', 'spec']",train
